Name,URL,Twitter
24/7 Wall St,http://247wallst.com/,https://twitter.com/247wallst
99Bitcoins,https://99bitcoins.com/,https://twitter.com/99bitcoinshq
ABC,http://www.abc.net.au/,https://twitter.com/abcaustralia/
abc News,http://abcnews.go.com/,http://twitter.com/abc
alphr,http://www.alphr.com/,https://twitter.com/alphr
American Banker,https://www.americanbanker.com,https://twitter.com/amerbanker
Aragon,https://aragon.one/,https://twitter.com/aragonproject
Ark.io,http://ark.io/,https://twitter.com/arkecosystem
Ars Technica,https://arstechnica.com/,https://twitter.com/arstechnica
Axios,https://www.axios.com/,https://twitter.com/axios
Bangalore Mirror,http://bangaloremirror.indiatimes.com/,https://twitter.com/bangaloremirror
Barron's Asia,https://www.barrons.com,https://twitter.com/barronsonline
BBC,http://www.bbc.com/,https://twitter.com/bbc
Benzinga,https://www.benzinga.com,http://twitter.com/benzinga
betanews,https://betanews.com/,https://twitter.com/betanews
Bitcoin.com,https://news.bitcoin.com/,https://twitter.com/btctn
Bitcoin.com,https://www.bitcoin.com/,https://twitter.com/bitcoincom
Bitcoinist,http://bitcoinist.com/,https://twitter.com/bitcoinist
BitcoinMagazine,https://bitcoinmagazine.com/,https://twitter.com/bitcoinmagazine
Bitsonline,https://www.bitsonline.com/,http://twitter.com/bitsonlinecom
BlockTribune,http://blocktribune.com/,https://twitter.com/blocktribune
Bloomberg,https://www.bloomberg.com,https://twitter.com/bloomberg
BNN,https://www.bnn.ca/,https://twitter.com/bnn
Boston Herald,http://www.bostonherald.com/,http://twitter.com/bostonherald
Brave NewCoin,https://bravenewcoin.com/,https://twitter.com/bravenewcoin
Breitbart,http://www.breitbart.com/,https://twitter.com/breitbartnews
BTCmanager.com,https://btcmanager.com,https://twitter.com/btc_manager
Business Insider UK,http://uk.businessinsider.com/,http://twitter.com/biuk
Business Live,https://www.businesslive.co.za/,https://twitter.com/businesslivesa
Business Recorder,https://www.brecorder.com/,https://twitter.com/brecordernews
BusinessKorea,http://www.businesskorea.co.kr/,https://twitter.com/business_korea
Businesslive,https://www.businesslive.co.za/,https://twitter.com/businesslivesa
BuzzFeed,https://www.buzzfeed.com/,https://twitter.com/buzzfeed
CBR,https://www.cbronline.com/,https://twitter.com/cbronline
Chicago Tribute,http://www.chicagotribune.com/,https://twitter.com/chicagotribune
City A.M.,http://www.cityam.com/,https://twitter.com/cityam
CNBC,https://www.cnbc.com,https://twitter.com/cnbc
CNN Money,http://money.cnn.com,http://twitter.com/cnnmoney
Coin Idol,https://coinidol.com,https://twitter.com/coinidol
coindesk,https://www.coindesk.com/,https://twitter.com/coindesk
CoinGeek,https://coingeek.com/,https://twitter.com/realcoingeek
CoinJournal,https://coinjournal.net/,https://twitter.com/coinjournal
Coinspeaker,https://www.coinspeaker.com/,https://www.twitter.com/coinspeaker/
cryptovest,https://cryptovest.com/,https://twitter.com/cryptovestmedia
crytocoins news,https://www.cryptocoinsnews.com/,https://twitter.com/cryptocoinsnews
Daily Beast,https://www.thedailybeast.com/,https://twitter.com/thedailybeast
Daily Mail,http://www.dailymail.co.uk/,https://twitter.com/dailymailuk
DCEBrief,https://dcebrief.com,https://twitter.com/dcebrief
Digital Trends,https://www.digitaltrends.com/,https://twitter.com/digitaltrends
DNA,http://www.dnaindia.com/,https://twitter.com/dna
E27,https://e27.co,http://twitter.com/e27co
Engadget,https://www.engadget.com,https://twitter.com/engadget
Entrepreneur,https://www.entrepreneur.com/,https://twitter.com/entrepreneur
Equities,https://www.equities.com,https://twitter.com/equitiesinc
ETH News,https://www.ethnews.com/,https://twitter.com/ethnews_
Ethereum ,https://ethereum.org/,https://twitter.com/ethereumproject
Ethereum World News,http://ethereumworldnews.com/,https://twitter.com/etherworldnews
Euromoney,https://www.euromoney.com/,http://twitter.com/euromoney
Express,https://www.express.co.uk,https://twitter.com/daily_express
fin24tech,https://www.fin24.com/,https://twitter.com/fin24_tech
Finance Magnates,https://www.financemagnates.com/,https://twitter.com/financemagnates
Financial Post,http://business.financialpost.com/,http://twitter.com/financialpost
Financial Review,http://www.afr.com,http://twitter.com/financialreview
Forbes,https://www.forbes.com,https://twitter.com/forbes
Fortune,http://fortune.com/,https://twitter.com/fortunemagazine
FT Adviser,https://www.ftadviser.com/,https://twitter.com/ftadviser
Gizmodo,https://gizmodo.com/,https://twitter.com/gizmodo
Hacked,https://hacked.com/,https://twitter.com/hackedcom
HotHardware,https://hothardware.com/,https://www.twitter.com/hothardware
